id,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE,END_DATE
1017,42,150000.0,M,M,999996.0,1.0,TYPE-B,42,1,ANNUAL,37099,1,20080804,20111003.0
1018,17,199998.92,,M,699996.0,2.0,TYPE-A,73,0,SEMI-ANNUAL,348000,1,20130412,20131112.0
1019,17,133829.04,,M,,6.0,TYPE-A,67,3,MONTHLY,343388,0,20130330,
1020,61,200000.0,M,M,1500000.0,1.0,TYPE-B,33,2,ANNUAL,855466,0,20100818,
1021,40,100000.8,M,M,279996.0,1.0,TYPE-B,35,1,MONTHLY,10077,0,20090107,
1022,101,100096.51,,F,180000.0,1.0,TYPE-A,37,0,ANNUAL,1204399,0,20110727,
1023,38,100000.0,M,F,420000.0,1.0,TYPE-B,57,1,ANNUAL,801155,1,20100831,20121027.0
1024,27,100000.0,M,F,285000.0,1.0,TYPE-B,36,1,ANNUAL,828222,1,20100210,20110411.0
1025,53,100000.0,M,M,360000.0,1.0,TYPE-B,29,3,SEMI-ANNUAL,339311,0,20080829,
1026,27,100000.0,S,M,350004.0,1.0,TYPE-B,24,0,ANNUAL,828633,0,20100129,
1027,12,100000.0,,M,849996.0,2.0,TYPE-B,72,1,ANNUAL,1271044,0,20130328,
1028,27,100000.0,M,M,942000.0,1.0,TYPE-B,28,1,ANNUAL,807399,1,20100730,20110926.0
1029,22,204511.8,M,M,999996.0,1.0,TYPE-B,49,2,ANNUAL,160133,1,20110329,20120527.0
1030,17,101852.94,S,M,349992.0,2.0,TYPE-A,23,0,SEMI-ANNUAL,1398555,0,20130628,
1031,12,100000.0,,M,999996.0,1.0,TYPE-B,60,3,ANNUAL,1265344,1,20110922,20121121.0
1032,22,100001.16,M,M,499992.0,2.0,TYPE-A,48,1,MONTHLY,1328522,1,20130117,20130502.0
1033,22,100000.0,S,M,320004.0,5.0,TYPE-B,23,0,ANNUAL,702966,0,20100111,
1034,41,500000.0,M,M,279996.0,1.0,TYPE-B,44,1,ANNUAL,186899,0,20080331,
1035,36,100000.0,M,M,249996.0,1.0,TYPE-B,59,3,QUARTERLY,343488,1,20100129,20100627.0
1036,22,120000.0,M,M,,6.0,TYPE-B,62,2,MONTHLY,351177,0,20091113,
1037,64,299999.95,,M,2199996.0,1.0,TYPE-A,49,2,ANNUAL,1132866,0,20130919,
1038,17,100000.0,M,M,2499996.0,1.0,TYPE-B,42,1,ANNUAL,682711,0,20090609,
1039,102,104190.3,,M,99996.0,1.0,TYPE-A,28,0,ANNUAL,1288555,0,20111230,
1040,12,180001.44,M,F,1029996.0,1.0,TYPE-B,35,1,MONTHLY,1053000,1,20100831,20110226.0
1041,49,100000.0,M,M,3999996.0,1.0,TYPE-B,45,3,ANNUAL,865677,1,20100730,20110926.0
1042,27,149999.83,M,M,156000.0,1.0,TYPE-A,52,1,ANNUAL,1447711,0,20130930,
1043,22,154635.08,M,M,5354412.0,2.0,TYPE-A,47,2,ANNUAL,377711,0,20121228,
1044,12,100000.0,M,M,,6.0,TYPE-B,66,1,ANNUAL,364999,0,20120620,
1045,17,132920.52,M,F,799992.0,1.0,TYPE-A,43,2,MONTHLY,343344,0,20131119,
1046,39,300000.0,M,M,2700000.0,1.0,TYPE-B,46,3,SEMI-ANNUAL,664844,1,20090528,20110727.0
1047,27,100000.0,M,M,849996.0,1.0,TYPE-B,29,3,ANNUAL,498599,0,20100331,
1048,56,100000.0,M,M,750000.0,1.0,TYPE-B,38,2,ANNUAL,739299,0,20100831,
1049,27,100000.0,,,,1.0,TYPE-B,57,0,ANNUAL,873622,1,20100331,20110527.0
1050,12,100000.0,M,M,249996.0,1.0,TYPE-B,47,1,SEMI-ANNUAL,600466,1,20090807,20101006.0
1051,75,100514.82,,M,,1.0,TYPE-A,59,0,ANNUAL,175677,1,20101231,20130127.0
1052,65,148002.17,,M,499992.0,1.0,TYPE-A,72,0,ANNUAL,1159644,1,20110627,20120726.0
1053,17,168631.92,M,F,249996.0,2.0,TYPE-A,45,3,MONTHLY,1097733,0,20130128,
1054,17,112923.6,,M,,1.0,TYPE-A,54,0,ANNUAL,225699,1,20101018,20111117.0
1055,25,200000.0,M,F,699996.0,1.0,TYPE-B,69,3,ANNUAL,20188,0,20100512,
1056,86,135569.25,,F,,1.0,TYPE-A,40,0,ANNUAL,1188866,1,20110225,20120326.0
1057,12,100000.0,,F,289008.0,2.0,TYPE-B,38,0,ANNUAL,1288544,1,20111227,20130225.0
1058,12,100000.0,M,M,500004.0,1.0,TYPE-B,45,1,ANNUAL,1040911,0,20100528,
1059,78,449999.9,,M,900000.0,1.0,TYPE-A,50,0,ANNUAL,1234800,0,20130821,
1060,19,144000.0,M,M,350004.0,1.0,TYPE-B,66,2,MONTHLY,347755,1,20090723,20100122.0
1061,55,207996.0,M,M,499992.0,1.0,TYPE-B,27,2,MONTHLY,452311,1,20091005,20100201.0
1062,65,174999.89,,M,,6.0,TYPE-A,67,3,ANNUAL,1393900,0,20130516,
1063,98,120005.16,,M,900000.0,2.0,TYPE-A,42,0,MONTHLY,1447333,0,20131009,
1064,47,199999.0,M,M,699996.0,1.0,TYPE-B,37,3,ANNUAL,95855,1,20080509,20090708.0
1065,22,120000.96,M,M,399996.0,1.0,TYPE-B,41,3,MONTHLY,1104844,0,20100728,
1066,12,399999.99,,M,549996.0,1.0,TYPE-B,84,2,ANNUAL,1259355,1,20120228,20130429.0
1067,17,112218.0,M,F,499992.0,2.0,TYPE-A,38,1,ANNUAL,343488,0,20130228,
1068,30,125000.0,M,M,2000004.0,1.0,TYPE-B,65,2,ANNUAL,880422,0,20100218,
1069,63,100514.79,M,M,500004.0,1.0,TYPE-A,42,1,ANNUAL,1003666,1,20110128,20120227.0
1070,32,100643.84,,M,429996.0,2.0,TYPE-A,38,3,ANNUAL,1396244,0,20130930,
1071,32,100001.0,M,F,200004.0,1.0,TYPE-B,63,3,ANNUAL,836388,0,20100122,
1072,86,200000.19,,M,699996.0,2.0,TYPE-A,46,0,ANNUAL,1132800,1,20111226,20130125.0
1073,71,100000.13,M,M,500004.0,1.0,TYPE-A,33,3,ANNUAL,1003666,0,20110221,
1074,32,100000.0,M,M,,6.0,TYPE-B,62,2,ANNUAL,708822,1,20100226,20110427.0
1075,12,271007.1,M,M,12000000.0,1.0,TYPE-A,51,3,ANNUAL,32477,1,20070927,20101027.0
1076,17,100000.8,S,F,300000.0,1.0,TYPE-B,30,0,MONTHLY,469877,0,20081023,
1077,27,100000.0,M,M,500004.0,1.0,TYPE-B,50,2,SEMI-ANNUAL,782744,1,20100416,20101215.0
1078,12,2000000.0,S,F,240840.0,2.0,TYPE-B,29,0,ANNUAL,285911,1,20120229,20130429.0
1079,25,400000.0,M,M,999996.0,1.0,TYPE-B,60,1,ANNUAL,493488,0,20090831,
1080,50,112967.0,M,M,999996.0,1.0,TYPE-B,45,2,ANNUAL,739300,1,20100331,20110527.0
1081,21,500000.0,M,M,2499996.0,1.0,TYPE-B,74,2,ANNUAL,20900,0,20100210,
1082,12,120000.96,W,F,549996.0,2.0,TYPE-B,49,0,MONTHLY,1239666,1,20120629,20121127.0
1083,94,105612.0,,M,399996.0,2.0,TYPE-A,39,0,SEMI-ANNUAL,836988,0,20120319,
1084,27,499999.47,M,M,1500000.0,1.0,TYPE-A,35,1,ANNUAL,939377,0,20120330,
1085,27,150001.2,,,,1.0,TYPE-B,71,0,MONTHLY,439133,1,20100505,20100903.0
1086,12,500000.0,,M,1500000.0,2.0,TYPE-B,61,0,ANNUAL,1236200,1,20120530,20130727.0
1087,57,100000.0,M,F,499992.0,1.0,TYPE-B,38,3,ANNUAL,834022,0,20100331,
1088,22,100000.0,M,M,450000.0,1.0,TYPE-B,51,2,ANNUAL,360188,0,20091204,
1089,55,100000.8,S,M,200004.0,1.0,TYPE-B,28,0,MONTHLY,67766,0,20080227,
1090,70,140999.87,S,M,300000.0,1.0,TYPE-A,35,0,ANNUAL,1294011,0,20120229,
1091,58,100001.0,M,M,350004.0,1.0,TYPE-B,36,3,ANNUAL,99188,1,20100721,20110831.0
1092,17,120618.06,,M,,1.0,TYPE-A,62,3,ANNUAL,910399,1,20101130,20111228.0
1093,47,250000.0,M,F,799992.0,1.0,TYPE-B,48,2,ANNUAL,343477,0,20100826,
1094,27,129999.98,M,M,1500000.0,2.0,TYPE-A,50,1,ANNUAL,1331000,0,20120831,
1095,65,100003.99,S,M,300000.0,1.0,TYPE-B,23,0,ANNUAL,500100,0,20100830,
1096,17,249992.11,M,M,1225644.0,1.0,TYPE-B,34,2,ANNUAL,117155,0,20090602,
1097,12,199998.0,M,M,900000.0,1.0,TYPE-B,41,3,SEMI-ANNUAL,87833,1,20110729,20130926.0
1098,17,100000.0,,,,1.0,TYPE-B,36,0,ANNUAL,43199,1,20081127,20100126.0
1099,67,130998.94,,M,,6.0,TYPE-A,65,0,ANNUAL,1234800,0,20120629,
1100,23,100000.0,M,M,300000.0,1.0,TYPE-B,72,3,ANNUAL,337400,0,20100224,
1101,44,100000.0,M,M,249996.0,1.0,TYPE-B,50,1,SEMI-ANNUAL,923944,0,20100614,
1102,12,156001.2,,M,,1.0,TYPE-B,61,3,MONTHLY,1155544,1,20110418,20110817.0
1103,22,104982.73,M,F,499992.0,1.0,TYPE-A,63,3,ANNUAL,343344,0,20130723,
1104,27,100000.0,,,,1.0,TYPE-B,45,3,ANNUAL,883055,0,20100719,
1105,12,100000.0,M,M,324996.0,1.0,TYPE-B,35,3,ANNUAL,870755,0,20100311,
1106,12,100000.0,M,M,1500000.0,1.0,TYPE-B,46,1,ANNUAL,879255,1,20111221,20130219.0
1107,17,119999.88,M,M,399996.0,1.0,TYPE-B,36,3,MONTHLY,134844,1,20080609,20081008.0
1108,22,625000.0,S,M,750000.0,1.0,TYPE-B,27,0,ANNUAL,343355,1,20090910,20101109.0
1109,27,100000.0,M,M,350004.0,1.0,TYPE-B,28,2,ANNUAL,873622,0,20100308,
1110,9,100000.0,S,M,350004.0,1.0,TYPE-B,21,0,SEMI-ANNUAL,798311,1,20091116,20100713.0
1111,12,250000.0,M,M,2749992.0,1.0,TYPE-B,52,2,ANNUAL,1256566,0,20130331,
1112,41,100000.0,M,M,420000.0,1.0,TYPE-B,44,1,ANNUAL,105755,0,20080131,
1113,68,199999.92,,M,1999992.0,5.0,TYPE-A,65,1,ANNUAL,1234800,0,20130826,
1114,12,190001.52,S,M,600000.0,1.0,TYPE-B,28,0,MONTHLY,260600,1,20081229,20090429.0
1115,17,114998.96,M,F,499992.0,1.0,TYPE-A,52,2,ANNUAL,599099,0,20130319,
1116,12,100000.0,S,F,499992.0,2.0,TYPE-B,22,0,ANNUAL,804700,0,20120712,
1117,68,201029.01,M,M,999996.0,1.0,TYPE-A,36,1,ANNUAL,739255,1,20101231,20120127.0
1118,17,116088.72,M,M,600000.0,1.0,TYPE-A,42,3,SEMI-ANNUAL,348355,0,20121129,
1119,82,498999.57,,M,849996.0,1.0,TYPE-A,54,0,ANNUAL,1106055,0,20131028,
1120,17,120199.64,M,M,7500000.0,1.0,TYPE-A,61,2,ANNUAL,1352877,0,20130326,
1121,9,100000.0,S,F,600000.0,1.0,TYPE-B,26,0,ANNUAL,1800,0,20100203,
1122,59,334999.81,M,M,814992.0,2.0,TYPE-A,46,3,ANNUAL,190155,0,20130322,
1123,63,100000.0,S,M,350004.0,1.0,TYPE-B,29,0,ANNUAL,1102655,0,20100831,
1124,17,114998.96,M,M,469992.0,2.0,TYPE-A,50,2,ANNUAL,1382500,0,20130131,
1125,17,250000.54,,M,1872804.0,2.0,TYPE-A,49,0,ANNUAL,1304133,0,20130830,
1126,22,150000.35,M,M,1200000.0,1.0,TYPE-A,63,1,ANNUAL,343355,0,20130628,
1127,12,100000.0,M,M,500004.0,5.0,TYPE-B,47,3,ANNUAL,1031877,0,20100831,
1128,43,199999.0,M,F,504000.0,1.0,TYPE-B,42,2,ANNUAL,53533,0,20080324,
1129,26,100000.0,S,F,500004.0,1.0,TYPE-B,58,0,ANNUAL,343344,0,20090923,
1130,27,100006.47,M,M,495636.0,2.0,TYPE-A,35,2,ANNUAL,1308544,0,20120330,
1131,24,200000.0,M,F,,6.0,TYPE-B,61,1,ANNUAL,343344,0,20090109,
1132,27,100000.0,M,M,350004.0,1.0,TYPE-B,50,3,ANNUAL,792577,1,20100226,20110427.0
1133,12,200000.0,M,F,300000.0,1.0,TYPE-B,46,1,ANNUAL,1192088,1,20110328,20120527.0
1134,12,100000.0,,,,1.0,TYPE-B,45,0,ANNUAL,343344,0,20100129,
1135,12,100000.8,M,M,1299996.0,1.0,TYPE-B,40,2,MONTHLY,1341388,0,20130625,
1136,46,3000000.0,M,M,30000000.0,1.0,TYPE-B,49,3,ANNUAL,1121299,1,20100823,20111019.0
1137,12,100000.0,M,F,399996.0,1.0,TYPE-B,34,1,SEMI-ANNUAL,70099,1,20080827,20090428.0
1138,22,123717.72,M,M,699996.0,1.0,TYPE-A,54,3,MONTHLY,343477,0,20130627,
1139,12,199999.0,M,M,480000.0,1.0,TYPE-B,47,1,ANNUAL,713322,0,20090922,
1140,12,100000.0,,M,,6.0,TYPE-B,66,3,ANNUAL,745388,1,20120131,20130329.0
1141,22,100000.0,M,M,1299996.0,1.0,TYPE-B,62,3,ANNUAL,632622,0,20090804,
1142,12,120000.96,S,M,999996.0,1.0,TYPE-B,30,0,MONTHLY,296744,1,20101231,20130926.0
1143,32,215951.74,M,M,999996.0,2.0,TYPE-A,52,2,SEMI-ANNUAL,1266366,1,20130331,20131028.0
1144,32,106115.52,M,M,300000.0,1.0,TYPE-A,47,1,MONTHLY,1143799,1,20121022,20130707.0
1145,93,147758.84,,M,900000.0,2.0,TYPE-A,48,0,ANNUAL,1242677,0,20120629,
1146,17,257395.92,M,M,3699996.0,1.0,TYPE-A,57,1,MONTHLY,347811,0,20130930,
1147,17,100000.0,,,,1.0,TYPE-B,46,0,SEMI-ANNUAL,248644,1,20080912,20090511.0
1148,19,110000.33,M,F,300000.0,2.0,TYPE-A,60,3,ANNUAL,1448733,0,20131017,
1149,12,300000.0,,M,499992.0,1.0,TYPE-B,58,2,ANNUAL,1241866,1,20120326,20130524.0
1150,71,203030.02,M,M,699996.0,1.0,TYPE-A,34,1,SEMI-ANNUAL,1233788,0,20120330,
1151,62,199999.52,M,M,600000.0,1.0,TYPE-A,43,1,SEMI-ANNUAL,1133688,0,20110830,
1152,50,100000.0,M,M,500004.0,1.0,TYPE-B,45,1,ANNUAL,711855,0,20100224,
1153,22,100000.0,M,M,399996.0,1.0,TYPE-B,39,2,SEMI-ANNUAL,576755,1,20090331,20100527.0
1154,12,151000.0,,M,300000.0,2.0,TYPE-B,62,1,ANNUAL,563644,1,20120723,20130921.0
1155,17,120887.0,M,F,549996.0,1.0,TYPE-A,57,1,ANNUAL,343499,0,20121217,
1156,12,105000.0,S,M,600000.0,1.0,TYPE-B,26,0,SEMI-ANNUAL,111433,0,20071219,
1157,12,100000.0,S,F,180000.0,1.0,TYPE-B,24,0,ANNUAL,533266,0,20090203,
1158,17,100000.0,M,M,500004.0,1.0,TYPE-B,27,2,ANNUAL,599344,0,20090120,
1159,12,100000.0,M,M,499992.0,2.0,TYPE-B,36,1,ANNUAL,1344811,0,20130219,
1160,17,190065.96,M,M,6499992.0,1.0,TYPE-A,52,2,MONTHLY,343344,0,20130513,
1161,12,100000.99,M,M,300000.0,1.0,TYPE-B,47,1,ANNUAL,813266,0,20101028,
1162,100,106891.22,,M,300000.0,2.0,TYPE-A,34,0,SEMI-ANNUAL,1360522,0,20121231,
1163,17,255933.6,M,M,699996.0,1.0,TYPE-A,58,2,MONTHLY,343511,0,20120816,
1164,32,100000.0,M,F,200004.0,1.0,TYPE-B,62,3,ANNUAL,343411,0,20100831,
1165,17,100000.0,M,M,450000.0,1.0,TYPE-B,27,1,ANNUAL,346711,0,20091231,
1166,42,125004.0,M,F,350004.0,1.0,TYPE-B,42,1,MONTHLY,287411,1,20080905,20090104.0
1167,27,150002.36,,M,1500000.0,2.0,TYPE-A,63,0,ANNUAL,1322299,0,20130227,
1168,12,100000.0,,M,300000.0,6.0,TYPE-B,61,2,ANNUAL,1370733,0,20121227,
1169,12,150000.0,S,F,990000.0,1.0,TYPE-B,40,0,ANNUAL,1107622,0,20101130,
1170,22,177306.12,,M,1999992.0,2.0,TYPE-A,63,0,MONTHLY,561122,0,20121130,
1171,12,500000.0,M,M,699996.0,1.0,TYPE-B,25,3,ANNUAL,1269899,0,20130331,
1172,35,180001.44,M,M,380004.0,1.0,TYPE-B,39,2,MONTHLY,29322,0,20071031,
1173,12,500010.0,M,M,500004.0,1.0,TYPE-B,60,1,ANNUAL,1194400,1,20110331,20120527.0
1174,46,100000.0,M,M,339996.0,1.0,TYPE-B,38,2,ANNUAL,425166,0,20090731,
1175,12,150000.0,M,M,999996.0,1.0,TYPE-B,44,3,ANNUAL,493500,1,20101231,20120226.0
1176,17,113821.0,M,M,499992.0,1.0,TYPE-A,56,3,SEMI-ANNUAL,347966,0,20121107,
1177,17,119998.2,M,F,500004.0,1.0,TYPE-B,26,2,MONTHLY,653455,1,20090522,20091021.0
1178,12,100000.0,M,F,450000.0,1.0,TYPE-B,41,3,SEMI-ANNUAL,1173599,0,20101227,
1179,62,275000.0,S,F,1099992.0,1.0,TYPE-B,33,0,ANNUAL,832200,1,20100331,20120527.0
1180,12,100000.0,M,M,200004.0,1.0,TYPE-B,36,3,QUARTERLY,657733,0,20100331,
1181,17,126439.47,M,M,3399996.0,1.0,TYPE-A,56,2,ANNUAL,343344,0,20131113,
1182,75,100000.43,,M,900000.0,2.0,TYPE-A,56,1,ANNUAL,624811,0,20130530,
1183,12,100000.99,W,M,600000.0,5.0,TYPE-B,50,0,ANNUAL,718711,1,20110228,20120412.0
1184,27,120000.96,M,M,534996.0,1.0,TYPE-B,51,2,MONTHLY,582822,0,20100331,
1185,17,100000.0,M,M,600000.0,1.0,TYPE-B,50,3,ANNUAL,62822,0,20080911,
1186,17,149999.54,S,M,500004.0,1.0,TYPE-B,19,0,ANNUAL,505999,0,20090730,
1187,71,200000.4,,M,,6.0,TYPE-A,67,0,ANNUAL,1378055,0,20130226,
1188,12,150001.2,,M,900000.0,2.0,TYPE-B,77,2,MONTHLY,708822,1,20120330,20120727.0
1189,22,100000.44,M,M,499992.0,2.0,TYPE-A,67,3,ANNUAL,343466,0,20130711,
1190,12,149999.92,M,M,499992.0,2.0,TYPE-B,48,3,ANNUAL,499555,1,20120131,20130329.0
1191,17,101556.76,,M,,6.0,TYPE-A,69,3,SEMI-ANNUAL,343344,0,20130509,
1192,32,101514.72,M,M,499992.0,1.0,TYPE-A,34,3,SEMI-ANNUAL,1308966,1,20120330,20121028.0
1193,12,150000.0,,M,999996.0,1.0,TYPE-B,60,0,ANNUAL,1245099,1,20110928,20121127.0
1194,12,100001.76,M,M,2132088.0,5.0,TYPE-B,61,2,MONTHLY,1294966,0,20120229,
1195,22,100000.0,M,F,,4.0,TYPE-B,35,2,SEMI-ANNUAL,149244,1,20080310,20080926.0
1196,17,107767.26,M,M,300000.0,1.0,TYPE-A,44,1,SEMI-ANNUAL,1462866,0,20130930,
1197,82,100000.3,,M,600000.0,2.0,TYPE-A,58,0,ANNUAL,1347266,0,20130206,
1198,22,150000.0,M,M,714804.0,1.0,TYPE-B,36,3,ANNUAL,739255,0,20091231,
1199,12,100000.0,M,M,399996.0,1.0,TYPE-B,48,1,ANNUAL,200533,0,20100416,
1200,12,200000.0,M,M,1500000.0,2.0,TYPE-B,50,3,SEMI-ANNUAL,96600,1,20120727,20130925.0
1201,27,200000.0,M,M,1249992.0,1.0,TYPE-B,48,2,SEMI-ANNUAL,309877,1,20100921,20120520.0
1202,22,154636.2,S,M,2499996.0,1.0,TYPE-A,34,0,MONTHLY,343344,0,20130927,
1203,12,100000.0,M,M,750000.0,1.0,TYPE-B,38,3,SEMI-ANNUAL,1142099,0,20101115,
1204,56,100000.0,M,F,500004.0,1.0,TYPE-B,38,2,ANNUAL,1126533,1,20100826,20121025.0
1205,22,309270.18,M,M,3999996.0,2.0,TYPE-A,49,3,ANNUAL,1342655,0,20130730,
1206,12,100200.72,S,F,849996.0,1.0,TYPE-B,24,0,MONTHLY,1260122,0,20111124,
1207,17,100000.0,M,M,500004.0,1.0,TYPE-B,34,3,ANNUAL,599966,0,20100311,
1208,27,251160.0,M,F,600000.0,1.0,TYPE-A,53,3,MONTHLY,343344,0,20130415,
1209,22,107213.62,M,F,600000.0,1.0,TYPE-A,48,1,SEMI-ANNUAL,1465711,0,20131120,
1210,12,120000.96,S,M,750000.0,1.0,TYPE-B,34,0,MONTHLY,1227900,1,20110718,20111117.0
1211,17,206180.15,,M,,6.0,TYPE-A,71,0,ANNUAL,1438477,0,20131129,
1212,82,109299.97,S,M,399996.0,1.0,TYPE-A,20,0,ANNUAL,1331000,0,20121228,
1213,27,200000.0,,,,6.0,TYPE-B,61,3,SEMI-ANNUAL,183611,0,20100621,
1214,40,150001.2,M,M,609996.0,1.0,TYPE-B,44,2,MONTHLY,409999,0,20081111,
1215,12,100000.0,W,F,200004.0,1.0,TYPE-B,39,0,SEMI-ANNUAL,623955,0,20090312,
1216,22,154635.05,M,F,900000.0,2.0,TYPE-A,45,2,ANNUAL,1267955,0,20131028,
1217,12,100000.0,M,F,699996.0,1.0,TYPE-B,42,1,SEMI-ANNUAL,752200,1,20120723,20130324.0
1218,20,200000.0,M,M,699996.0,1.0,TYPE-B,74,3,ANNUAL,20188,0,20100614,
1219,94,100514.64,,M,,6.0,TYPE-A,86,0,SEMI-ANNUAL,1132133,1,20110211,20110910.0
1220,17,125017.09,,M,600000.0,1.0,TYPE-A,50,0,ANNUAL,343399,0,20131129,
1221,12,3500000.0,M,M,7500000.0,2.0,TYPE-B,60,1,ANNUAL,1251300,0,20130331,
1222,20,100000.0,M,M,,6.0,TYPE-B,74,3,ANNUAL,343344,0,20100827,
1223,17,159998.08,M,M,799992.0,2.0,TYPE-A,58,3,QUARTERLY,348144,0,20130417,
1224,102,101316.84,,M,379992.0,1.0,TYPE-A,27,0,MONTHLY,1354477,0,20121217,
1225,50,150000.0,M,M,720000.0,1.0,TYPE-B,35,3,ANNUAL,186899,0,20080219,
1226,61,120003.96,M,M,1999992.0,1.0,TYPE-A,44,2,MONTHLY,343466,0,20130122,
1227,64,120000.43,M,M,300000.0,2.0,TYPE-A,40,2,ANNUAL,1306211,0,20130918,
1228,12,100000.0,,M,3999996.0,1.0,TYPE-B,62,2,ANNUAL,1448788,0,20130918,
1229,40,250000.0,M,M,350004.0,1.0,TYPE-B,55,3,ANNUAL,960566,0,20100604,
1230,12,100000.8,W,F,249996.0,2.0,TYPE-B,51,0,MONTHLY,1420255,0,20130628,
1231,60,150000.0,S,M,1899996.0,1.0,TYPE-B,35,0,ANNUAL,664844,0,20100830,
1232,57,100000.0,M,M,800004.0,1.0,TYPE-B,38,2,QUARTERLY,836000,1,20100604,20101103.0
1233,17,100000.0,,,,1.0,TYPE-B,30,0,ANNUAL,33844,0,20071114,
1234,54,129999.96,S,M,399996.0,1.0,TYPE-A,51,0,SEMI-ANNUAL,1321455,1,20120524,20121224.0
1235,22,105674.66,,M,2499996.0,1.0,TYPE-A,56,0,ANNUAL,773733,0,20130830,
1236,17,100000.0,,,,1.0,TYPE-B,38,1,ANNUAL,201122,0,20080520,
1237,12,100000.0,M,M,423132.0,2.0,TYPE-B,40,1,ANNUAL,1231988,0,20120330,
1238,73,190000.03,S,M,549996.0,1.0,TYPE-A,29,0,ANNUAL,1475644,0,20131024,
1239,12,102000.72,S,M,360000.0,1.0,TYPE-B,26,0,MONTHLY,1187077,1,20130220,20130719.0
1240,12,150000.0,M,F,699996.0,1.0,TYPE-B,44,3,ANNUAL,471022,0,20100319,
1241,9,100000.0,W,F,2258004.0,1.0,TYPE-B,50,0,ANNUAL,596255,0,20090302,
1242,12,150000.0,M,M,3000000.0,1.0,TYPE-B,39,3,ANNUAL,664844,0,20110331,
1243,32,147759.61,,M,699996.0,2.0,TYPE-A,66,0,ANNUAL,1337700,1,20120725,20130824.0
1244,17,150000.0,M,F,2000004.0,1.0,TYPE-B,28,3,ANNUAL,41744,0,20080310,
1245,27,157299.48,S,M,600000.0,1.0,TYPE-A,30,0,MONTHLY,343344,0,20130423,
1246,9,100000.8,S,M,300000.0,1.0,TYPE-B,29,0,MONTHLY,688,0,20090220,
1247,27,236733.0,,M,699996.0,2.0,TYPE-A,51,1,MONTHLY,347766,1,20120730,20131013.0
1248,12,120000.96,M,M,450000.0,1.0,TYPE-B,46,3,MONTHLY,57844,0,20080131,
1249,22,100000.8,M,M,900000.0,1.0,TYPE-B,37,3,MONTHLY,1138644,1,20110830,20121227.0
1250,12,100000.0,M,M,399996.0,1.0,TYPE-B,46,1,SEMI-ANNUAL,1236122,1,20110706,20120306.0
1251,22,154499.99,,M,,6.0,TYPE-A,65,0,ANNUAL,1439600,0,20131111,
1252,80,121240.38,,M,399996.0,2.0,TYPE-A,51,0,SEMI-ANNUAL,1354477,0,20130124,
1253,22,250000.0,M,M,859992.0,1.0,TYPE-B,33,3,ANNUAL,1202066,1,20120330,20130527.0
1254,12,100000.0,M,M,800004.0,1.0,TYPE-B,48,3,ANNUAL,863600,0,20100326,
1255,17,100000.0,M,M,230004.0,1.0,TYPE-B,45,2,ANNUAL,567799,0,20091027,
1256,55,100000.0,M,F,,4.0,TYPE-B,39,3,SEMI-ANNUAL,193566,0,20100325,
1257,12,150000.0,,M,249996.0,1.0,TYPE-B,72,0,ANNUAL,1127311,0,20110909,
1258,17,100000.0,S,M,516000.0,1.0,TYPE-B,23,0,SEMI-ANNUAL,185499,0,20080828,
1259,12,300006.0,S,M,900000.0,1.0,TYPE-B,62,0,ANNUAL,1003666,0,20101126,
1260,17,136522.56,S,M,244992.0,1.0,TYPE-A,62,0,MONTHLY,343344,0,20130822,
1261,19,389999.99,W,F,699996.0,2.0,TYPE-A,65,0,ANNUAL,1459044,0,20131010,
1262,12,120000.96,M,M,600000.0,2.0,TYPE-B,43,3,MONTHLY,1269300,1,20120831,20121227.0
1263,17,118398.42,M,M,499992.0,2.0,TYPE-A,54,1,SEMI-ANNUAL,201333,0,20120508,
1264,35,150000.0,M,F,500004.0,1.0,TYPE-B,60,3,ANNUAL,504511,0,20100315,
1265,17,100000.0,S,M,369996.0,1.0,TYPE-B,27,0,SEMI-ANNUAL,698422,1,20090817,20100418.0
1266,17,119995.44,M,M,379992.0,2.0,TYPE-A,41,2,MONTHLY,343344,0,20130716,
1267,12,100000.0,M,M,249996.0,1.0,TYPE-B,29,1,SEMI-ANNUAL,255911,0,20080714,
1268,12,100002.0,S,F,650004.0,1.0,TYPE-B,60,0,ANNUAL,942277,1,20101220,20120218.0
1269,12,200000.0,,F,,6.0,TYPE-B,68,0,ANNUAL,1152655,1,20120507,20130627.0
1270,84,100514.7,,M,,1.0,TYPE-A,51,0,ANNUAL,1128977,1,20101220,20120119.0
1271,32,102548.98,S,M,300000.0,1.0,TYPE-A,26,0,ANNUAL,1200700,0,20130331,
1272,32,107480.52,,M,999996.0,1.0,TYPE-A,35,0,MONTHLY,1125499,0,20120927,
1273,17,100000.41,,F,499992.0,1.0,TYPE-A,49,0,ANNUAL,1344255,0,20131121,
1274,38,200000.0,M,F,300000.0,1.0,TYPE-B,57,3,SEMI-ANNUAL,343344,0,20100827,
1275,22,120000.0,M,M,2499996.0,1.0,TYPE-B,37,2,ANNUAL,1311533,0,20130326,
